externalId,type,title,speaker,sermonDate,publishedAt,categoryId,isLive,thumbnailUrl,duration,description,mediaUrl
shekinah-yt-asQFM1unI8Q,video,"WHY JESUS CHRIST CAME AND DIED","Sir Joseph Mash",2026-06-10,2026-06-10T06:00,cat-1,false,https://i.ytimg.com/vi/asQFM1unI8Q/hqdefault.jpg,22:47,"Official Shekinah Sons Global teaching imported from the public YouTube channel for batch-ingestion testing.",https://www.youtube.com/watch?v=asQFM1unI8Q
shekinah-yt-zQvxJFkFXC8,video,"TAKE RESPONSIBILITY!","Sir Joseph Mash",2026-06-12,2026-06-12T06:00,cat-1,false,https://i.ytimg.com/vi/zQvxJFkFXC8/hqdefault.jpg,20:52,"Official Shekinah Sons Global teaching imported from the public YouTube channel for batch-ingestion testing.",https://www.youtube.com/watch?v=zQvxJFkFXC8
shekinah-yt-AFIkyeAcRwE,video,"THE SIMPLICITY IN CHRIST JESUS","Sir Joseph Mash",2026-06-14,2026-06-14T06:00,cat-3,false,https://i.ytimg.com/vi/AFIkyeAcRwE/hqdefault.jpg,12:11,"Official Shekinah Sons Global teaching imported from the public YouTube channel for batch-ingestion testing.",https://www.youtube.com/watch?v=AFIkyeAcRwE
shekinah-yt-NDC2E4YkHEM,video,"2 DAYS OF LIGHT","Sir Joseph Mash & Prophet Josphiah",2026-06-18,2026-06-18T06:00,cat-4,false,https://i.ytimg.com/vi/NDC2E4YkHEM/hqdefault.jpg,11:21,"Official Shekinah Sons Global teaching imported from the public YouTube channel for scheduling tests.",https://www.youtube.com/watch?v=NDC2E4YkHEM
shekinah-yt-kyUeStQaaRM,video,"WHAT YOU ARE MADE OF","Sir Joseph Mash",2026-06-20,2026-06-20T06:00,cat-1,false,https://i.ytimg.com/vi/kyUeStQaaRM/hqdefault.jpg,21:18,"Official Shekinah Sons Global teaching imported from the public YouTube channel for scheduling tests.",https://www.youtube.com/watch?v=kyUeStQaaRM
shekinah-yt-LKZTLv7VEwo,video,"THE HOPE OF OUR CALLING","Sir Joseph Mash",2026-06-22,2026-06-22T06:00,cat-3,false,https://i.ytimg.com/vi/LKZTLv7VEwo/hqdefault.jpg,21:00,"Official Shekinah Sons Global teaching imported from the public YouTube channel for scheduling tests.",https://www.youtube.com/watch?v=LKZTLv7VEwo
shekinah-yt-CjddPxMCCDk,video,"THE LIFE OF FAITH","Shekinah Sons Global",2026-06-24,2026-06-24T06:00,cat-1,false,https://i.ytimg.com/vi/CjddPxMCCDk/hqdefault.jpg,11:01,"Official Shekinah Sons Global teaching imported from the public YouTube channel for scheduling tests.",https://www.youtube.com/watch?v=CjddPxMCCDk
shekinah-yt-IN_seTRPh9o,video,"REDEEMED FUTURE SERIES","Shekinah Sons Global",2026-06-26,2026-06-26T06:00,cat-4,false,https://i.ytimg.com/vi/IN_seTRPh9o/hqdefault.jpg,19:05,"Official Shekinah Sons Global teaching imported from the public YouTube channel for scheduling tests.",https://www.youtube.com/watch?v=IN_seTRPh9o
